Year,Indicator Name,Value,Indicator_Code,Value_original,Value_converted,was_whole_number
1976,Number of infant deaths,18015.0,IND_008,18015.0,18015.0,True
1975,Number of infant deaths,18391.0,IND_008,18391.0,18391.0,True
1974,Number of infant deaths,18856.0,IND_008,18856.0,18856.0,True
1973,Number of infant deaths,19309.0,IND_008,19309.0,19309.0,True
1972,Number of infant deaths,19460.0,IND_008,19460.0,19460.0,True
1971,Number of infant deaths,19667.0,IND_008,19667.0,19667.0,True
1970,Number of infant deaths,19983.0,IND_008,19983.0,19983.0,True
1969,Number of infant deaths,20340.0,IND_008,20340.0,20340.0,True
1968,Number of infant deaths,20830.0,IND_008,20830.0,20830.0,True
1967,Number of infant deaths,21166.0,IND_008,21166.0,21166.0,True
1966,Number of infant deaths,21492.0,IND_008,21492.0,21492.0,True
1965,Number of infant deaths,21995.0,IND_008,21995.0,21995.0,True
1964,Number of infant deaths,22279.0,IND_008,22279.0,22279.0,True
1963,Number of infant deaths,22393.0,IND_008,22393.0,22393.0,True
1962,Number of infant deaths,22605.0,IND_008,22605.0,22605.0,True
1961,Number of infant deaths,23154.0,IND_008,23154.0,23154.0,True
1960,Number of infant deaths,24038.0,IND_008,24038.0,24038.0,True
2019,"Cause of death, by injury (% of total)",8.0110528250866,IND_009,8.0110528250866,8.0110528250866,False
2015,"Cause of death, by injury (% of total)",8.10632306882883,IND_009,8.10632306882883,8.10632306882883,False
2010,"Cause of death, by injury (% of total)",15.7652585089274,IND_009,15.7652585089274,15.7652585089274,False
2000,"Cause of death, by injury (% of total)",14.4571727553172,IND_009,14.4571727553172,14.4571727553172,False
2022,Number of under-five deaths,1980.0,IND_010,1980.0,1980.0,True
2021,Number of under-five deaths,2079.0,IND_010,2079.0,2079.0,True
2020,Number of under-five deaths,2195.0,IND_010,2195.0,2195.0,True
2019,Number of under-five deaths,2324.0,IND_010,2324.0,2324.0,True
2018,Number of under-five deaths,2464.0,IND_010,2464.0,2464.0,True
2017,Number of under-five deaths,2631.0,IND_010,2631.0,2631.0,True
2016,Number of under-five deaths,2816.0,IND_010,2816.0,2816.0,True
2015,Number of under-five deaths,3039.0,IND_010,3039.0,3039.0,True
2014,Number of under-five deaths,3305.0,IND_010,3305.0,3305.0,True
2013,Number of under-five deaths,3570.0,IND_010,3570.0,3570.0,True
2012,Number of under-five deaths,3787.0,IND_010,3787.0,3787.0,True
2011,Number of under-five deaths,3955.0,IND_010,3955.0,3955.0,True
2010,Number of under-five deaths,4102.0,IND_010,4102.0,4102.0,True
2009,Number of under-five deaths,7735.0,IND_010,7735.0,7735.0,True
2008,Number of under-five deaths,4502.0,IND_010,4502.0,4502.0,True
2007,Number of under-five deaths,4766.0,IND_010,4766.0,4766.0,True
2006,Number of under-five deaths,4989.0,IND_010,4989.0,4989.0,True
2005,Number of under-five deaths,5154.0,IND_010,5154.0,5154.0,True
2004,Number of under-five deaths,10365.0,IND_010,10365.0,10365.0,True
2003,Number of under-five deaths,5440.0,IND_010,5440.0,5440.0,True
2002,Number of under-five deaths,5530.0,IND_010,5530.0,5530.0,True
2001,Number of under-five deaths,5574.0,IND_010,5574.0,5574.0,True
2000,Number of under-five deaths,5620.0,IND_010,5620.0,5620.0,True
1999,Number of under-five deaths,5759.0,IND_010,5759.0,5759.0,True
1998,Number of under-five deaths,6047.0,IND_010,6047.0,6047.0,True
1997,Number of under-five deaths,6424.0,IND_010,6424.0,6424.0,True
1996,Number of under-five deaths,6768.0,IND_010,6768.0,6768.0,True
1995,Number of under-five deaths,7069.0,IND_010,7069.0,7069.0,True
1994,Number of under-five deaths,7327.0,IND_010,7327.0,7327.0,True
1993,Number of under-five deaths,7573.0,IND_010,7573.0,7573.0,True
1992,Number of under-five deaths,7732.0,IND_010,7732.0,7732.0,True
1991,Number of under-five deaths,7790.0,IND_010,7790.0,7790.0,True
1990,Number of under-five deaths,7875.0,IND_010,7875.0,7875.0,True
1989,Number of under-five deaths,9394.0,IND_010,9394.0,9394.0,True
1988,Number of under-five deaths,8325.0,IND_010,8325.0,8325.0,True
1987,Number of under-five deaths,9021.0,IND_010,9021.0,9021.0,True
1986,Number of under-five deaths,10066.0,IND_010,10066.0,10066.0,True
1985,Number of under-five deaths,11405.0,IND_010,11405.0,11405.0,True
1984,Number of under-five deaths,12887.0,IND_010,12887.0,12887.0,True
1983,Number of under-five deaths,14569.0,IND_010,14569.0,14569.0,True
1982,Number of under-five deaths,16399.0,IND_010,16399.0,16399.0,True
1981,Number of under-five deaths,17912.0,IND_010,17912.0,17912.0,True
1980,Number of under-five deaths,19169.0,IND_010,19169.0,19169.0,True
1979,Number of under-five deaths,20387.0,IND_010,20387.0,20387.0,True
1978,Number of under-five deaths,21324.0,IND_010,21324.0,21324.0,True
1977,Number of under-five deaths,22315.0,IND_010,22315.0,22315.0,True
1976,Number of under-five deaths,23304.0,IND_010,23304.0,23304.0,True
1975,Number of under-five deaths,24052.0,IND_010,24052.0,24052.0,True
1974,Number of under-five deaths,24808.0,IND_010,24808.0,24808.0,True
1973,Number of under-five deaths,25465.0,IND_010,25465.0,25465.0,True
1972,Number of under-five deaths,25769.0,IND_010,25769.0,25769.0,True
1971,Number of under-five deaths,26084.0,IND_010,26084.0,26084.0,True
1970,Number of under-five deaths,26485.0,IND_010,26485.0,26485.0,True
1969,Number of under-five deaths,26958.0,IND_010,26958.0,26958.0,True
1968,Number of under-five deaths,27613.0,IND_010,27613.0,27613.0,True
1967,Number of under-five deaths,28192.0,IND_010,28192.0,28192.0,True
1966,Number of under-five deaths,28816.0,IND_010,28816.0,28816.0,True
1965,Number of under-five deaths,29586.0,IND_010,29586.0,29586.0,True
1964,Number of under-five deaths,30076.0,IND_010,30076.0,30076.0,True
1963,Number of under-five deaths,30364.0,IND_010,30364.0,30364.0,True
1962,Number of under-five deaths,30742.0,IND_010,30742.0,30742.0,True
1961,Number of under-five deaths,31483.0,IND_010,31483.0,31483.0,True
1960,Number of under-five deaths,32673.0,IND_010,32673.0,32673.0,True
2019,"Cause of death, by non-communicable diseases (% of total)",82.5187048538365,IND_011,82.5187048538365,82.5187048538365,False
2015,"Cause of death, by non-communicable diseases (% of total)",82.6731105390946,IND_011,82.6731105390946,82.6731105390946,False
2010,"Cause of death, by non-communicable diseases (% of total)",75.9677535655116,IND_011,75.9677535655116,75.9677535655116,False
2000,"Cause of death, by non-communicable diseases (% of total)",74.362985313725,IND_011,74.362985313725,74.362985313725,False
2022,Number of neonatal deaths,1107.0,IND_012,1107.0,1107.0,True
2021,Number of neonatal deaths,1166.0,IND_012,1166.0,1166.0,True
2020,Number of neonatal deaths,1226.0,IND_012,1226.0,1226.0,True
2019,Number of neonatal deaths,1298.0,IND_012,1298.0,1298.0,True
2018,Number of neonatal deaths,1377.0,IND_012,1377.0,1377.0,True
2017,Number of neonatal deaths,1473.0,IND_012,1473.0,1473.0,True
2016,Number of neonatal deaths,1582.0,IND_012,1582.0,1582.0,True
2015,Number of neonatal deaths,1726.0,IND_012,1726.0,1726.0,True
2014,Number of neonatal deaths,1914.0,IND_012,1914.0,1914.0,True
2013,Number of neonatal deaths,2109.0,IND_012,2109.0,2109.0,True
2012,Number of neonatal deaths,2221.0,IND_012,2221.0,2221.0,True
2011,Number of neonatal deaths,2264.0,IND_012,2264.0,2264.0,True
2010,Number of neonatal deaths,2289.0,IND_012,2289.0,2289.0,True
2009,Number of neonatal deaths,2434.0,IND_012,2434.0,2434.0,True
2008,Number of neonatal deaths,2490.0,IND_012,2490.0,2490.0,True
2007,Number of neonatal deaths,2555.0,IND_012,2555.0,2555.0,True
2006,Number of neonatal deaths,2559.0,IND_012,2559.0,2559.0,True
2005,Number of neonatal deaths,2541.0,IND_012,2541.0,2541.0,True
2004,Number of neonatal deaths,2751.0,IND_012,2751.0,2751.0,True
2003,Number of neonatal deaths,2873.0,IND_012,2873.0,2873.0,True
2002,Number of neonatal deaths,3076.0,IND_012,3076.0,3076.0,True
2001,Number of neonatal deaths,3255.0,IND_012,3255.0,3255.0,True
2000,Number of neonatal deaths,3372.0,IND_012,3372.0,3372.0,True
1999,Number of neonatal deaths,3518.0,IND_012,3518.0,3518.0,True
1998,Number of neonatal deaths,3692.0,IND_012,3692.0,3692.0,True
1997,Number of neonatal deaths,3975.0,IND_012,3975.0,3975.0,True
1996,Number of neonatal deaths,4188.0,IND_012,4188.0,4188.0,True
1995,Number of neonatal deaths,4323.0,IND_012,4323.0,4323.0,True
1994,Number of neonatal deaths,4364.0,IND_012,4364.0,4364.0,True
1993,Number of neonatal deaths,4399.0,IND_012,4399.0,4399.0,True
1992,Number of neonatal deaths,4513.0,IND_012,4513.0,4513.0,True
1991,Number of neonatal deaths,4613.0,IND_012,4613.0,4613.0,True
1990,Number of neonatal deaths,4814.0,IND_012,4814.0,4814.0,True
1989,Number of neonatal deaths,5164.0,IND_012,5164.0,5164.0,True
1988,Number of neonatal deaths,5402.0,IND_012,5402.0,5402.0,True
1987,Number of neonatal deaths,5773.0,IND_012,5773.0,5773.0,True
1986,Number of neonatal deaths,6033.0,IND_012,6033.0,6033.0,True
1985,Number of neonatal deaths,6232.0,IND_012,6232.0,6232.0,True
1984,Number of neonatal deaths,6288.0,IND_012,6288.0,6288.0,True
1983,Number of neonatal deaths,6534.0,IND_012,6534.0,6534.0,True
1982,Number of neonatal deaths,7384.0,IND_012,7384.0,7384.0,True
1981,Number of neonatal deaths,8863.0,IND_012,8863.0,8863.0,True
1980,Number of neonatal deaths,9840.0,IND_012,9840.0,9840.0,True
1979,Number of neonatal deaths,10318.0,IND_012,10318.0,10318.0,True
1978,Number of neonatal deaths,10113.0,IND_012,10113.0,10113.0,True
1977,Number of neonatal deaths,9870.0,IND_012,9870.0,9870.0,True
1976,Number of neonatal deaths,10007.0,IND_012,10007.0,10007.0,True
1975,Number of neonatal deaths,10194.0,IND_012,10194.0,10194.0,True
1974,Number of neonatal deaths,10485.0,IND_012,10485.0,10485.0,True
1973,Number of neonatal deaths,11068.0,IND_012,11068.0,11068.0,True
1972,Number of neonatal deaths,11453.0,IND_012,11453.0,11453.0,True
1971,Number of neonatal deaths,11760.0,IND_012,11760.0,11760.0,True
1970,Number of neonatal deaths,12214.0,IND_012,12214.0,12214.0,True
1969,Number of neonatal deaths,12577.0,IND_012,12577.0,12577.0,True
1968,Number of neonatal deaths,13010.0,IND_012,13010.0,13010.0,True
