Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.83
Sri Lanka,LKA,2017,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.86
Sri Lanka,LKA,2016,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.91
Sri Lanka,LKA,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.86
Sri Lanka,LKA,2014,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.86
Sri Lanka,LKA,2013,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.93
Sri Lanka,LKA,2012,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.01
Sri Lanka,LKA,2011,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.89
Sri Lanka,LKA,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.6
Sri Lanka,LKA,2009,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.41
Sri Lanka,LKA,2008,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.4
Sri Lanka,LKA,2007,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.37
Sri Lanka,LKA,2006,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.33
Sri Lanka,LKA,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.06
Sri Lanka,LKA,2004,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.98
Sri Lanka,LKA,2003,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.87
Sri Lanka,LKA,2002,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.96
Sri Lanka,LKA,2001,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.88
Sri Lanka,LKA,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.88
Sri Lanka,LKA,2020,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.98
Sri Lanka,LKA,2019,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.83
Sri Lanka,LKA,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.83
Sri Lanka,LKA,2017,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.87
Sri Lanka,LKA,2016,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.95
Sri Lanka,LKA,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.87
Sri Lanka,LKA,2014,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.87
Sri Lanka,LKA,2013,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.97
Sri Lanka,LKA,2012,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.1
Sri Lanka,LKA,2011,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.9
Sri Lanka,LKA,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.41
Sri Lanka,LKA,2009,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.07
Sri Lanka,LKA,2008,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.05
Sri Lanka,LKA,2007,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.99
Sri Lanka,LKA,2006,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.91
Sri Lanka,LKA,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.45
Sri Lanka,LKA,2004,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.32
Sri Lanka,LKA,2003,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.13
Sri Lanka,LKA,2002,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.27
Sri Lanka,LKA,2001,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.13
Sri Lanka,LKA,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,3.13
Sri Lanka,LKA,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.6
Sri Lanka,LKA,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.4
Sri Lanka,LKA,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.1
Sri Lanka,LKA,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.9
Sri Lanka,LKA,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.8
Sri Lanka,LKA,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.6
Sri Lanka,LKA,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.5
Sri Lanka,LKA,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.5
Sri Lanka,LKA,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.6
Sri Lanka,LKA,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.8
Sri Lanka,LKA,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.1
Sri Lanka,LKA,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.5
Sri Lanka,LKA,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35
Sri Lanka,LKA,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.5
Sri Lanka,LKA,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36
Sri Lanka,LKA,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.5
Sri Lanka,LKA,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37
Sri Lanka,LKA,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,37.6
Sri Lanka,LKA,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.2
Sri Lanka,LKA,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,38.8
Sri Lanka,LKA,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,25.1
Sri Lanka,LKA,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.9
Sri Lanka,LKA,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.7
Sri Lanka,LKA,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.6
Sri Lanka,LKA,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.6
Sri Lanka,LKA,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.7
Sri Lanka,LKA,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.9
Sri Lanka,LKA,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,25.1
Sri Lanka,LKA,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,25.5
Sri Lanka,LKA,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,26
Sri Lanka,LKA,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,26.5
Sri Lanka,LKA,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,27.1
Sri Lanka,LKA,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,27.9
Sri Lanka,LKA,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,28.6
Sri Lanka,LKA,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,29.3
Sri Lanka,LKA,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,29.9
Sri Lanka,LKA,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.5
Sri Lanka,LKA,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,31.1
Sri Lanka,LKA,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,31.8
Sri Lanka,LKA,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,32.6
Sri Lanka,LKA,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.6
Sri Lanka,LKA,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.4
Sri Lanka,LKA,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.1
Sri Lanka,LKA,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.9
Sri Lanka,LKA,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.8
Sri Lanka,LKA,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.6
Sri Lanka,LKA,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.5
Sri Lanka,LKA,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.5
Sri Lanka,LKA,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.6
Sri Lanka,LKA,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.8
Sri Lanka,LKA,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.2
Sri Lanka,LKA,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.6
Sri Lanka,LKA,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35
Sri Lanka,LKA,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.6
Sri Lanka,LKA,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36
Sri Lanka,LKA,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,36.6
Sri Lanka,LKA,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,37.1
Sri Lanka,LKA,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,37.7
Sri Lanka,LKA,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,38.3
Sri Lanka,LKA,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,38.9
Sri Lanka,LKA,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,9.47024212360678
Sri Lanka,LKA,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,9.22056759576454
Sri Lanka,LKA,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,8.26698958098415
Sri Lanka,LKA,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,11.1798409621852
Sri Lanka,LKA,2022,Number of infant deaths,SH.DTH.IMRT,1684
Sri Lanka,LKA,2021,Number of infant deaths,SH.DTH.IMRT,1767
Sri Lanka,LKA,2020,Number of infant deaths,SH.DTH.IMRT,1864
Sri Lanka,LKA,2019,Number of infant deaths,SH.DTH.IMRT,1973
Sri Lanka,LKA,2018,Number of infant deaths,SH.DTH.IMRT,2091
Sri Lanka,LKA,2017,Number of infant deaths,SH.DTH.IMRT,2232
Sri Lanka,LKA,2016,Number of infant deaths,SH.DTH.IMRT,2389
Sri Lanka,LKA,2015,Number of infant deaths,SH.DTH.IMRT,2583
Sri Lanka,LKA,2014,Number of infant deaths,SH.DTH.IMRT,2820
Sri Lanka,LKA,2013,Number of infant deaths,SH.DTH.IMRT,3056
Sri Lanka,LKA,2012,Number of infant deaths,SH.DTH.IMRT,3245
Sri Lanka,LKA,2011,Number of infant deaths,SH.DTH.IMRT,3384
Sri Lanka,LKA,2010,Number of infant deaths,SH.DTH.IMRT,3509
Sri Lanka,LKA,2009,Number of infant deaths,SH.DTH.IMRT,5016
Sri Lanka,LKA,2008,Number of infant deaths,SH.DTH.IMRT,3881
Sri Lanka,LKA,2007,Number of infant deaths,SH.DTH.IMRT,4122
Sri Lanka,LKA,2006,Number of infant deaths,SH.DTH.IMRT,4316
Sri Lanka,LKA,2005,Number of infant deaths,SH.DTH.IMRT,4452
Sri Lanka,LKA,2004,Number of infant deaths,SH.DTH.IMRT,6413
Sri Lanka,LKA,2003,Number of infant deaths,SH.DTH.IMRT,4717
Sri Lanka,LKA,2002,Number of infant deaths,SH.DTH.IMRT,4800
Sri Lanka,LKA,2001,Number of infant deaths,SH.DTH.IMRT,4827
Sri Lanka,LKA,2000,Number of infant deaths,SH.DTH.IMRT,4839
Sri Lanka,LKA,1999,Number of infant deaths,SH.DTH.IMRT,4925
Sri Lanka,LKA,1998,Number of infant deaths,SH.DTH.IMRT,5150
Sri Lanka,LKA,1997,Number of infant deaths,SH.DTH.IMRT,5466
Sri Lanka,LKA,1996,Number of infant deaths,SH.DTH.IMRT,5756
Sri Lanka,LKA,1995,Number of infant deaths,SH.DTH.IMRT,6012
Sri Lanka,LKA,1994,Number of infant deaths,SH.DTH.IMRT,6235
Sri Lanka,LKA,1993,Number of infant deaths,SH.DTH.IMRT,6458
Sri Lanka,LKA,1992,Number of infant deaths,SH.DTH.IMRT,6600
Sri Lanka,LKA,1991,Number of infant deaths,SH.DTH.IMRT,6639
Sri Lanka,LKA,1990,Number of infant deaths,SH.DTH.IMRT,6698
Sri Lanka,LKA,1989,Number of infant deaths,SH.DTH.IMRT,7312
Sri Lanka,LKA,1988,Number of infant deaths,SH.DTH.IMRT,7012
Sri Lanka,LKA,1987,Number of infant deaths,SH.DTH.IMRT,7557
Sri Lanka,LKA,1986,Number of infant deaths,SH.DTH.IMRT,8366
Sri Lanka,LKA,1985,Number of infant deaths,SH.DTH.IMRT,9392
Sri Lanka,LKA,1984,Number of infant deaths,SH.DTH.IMRT,10499
Sri Lanka,LKA,1983,Number of infant deaths,SH.DTH.IMRT,11780
Sri Lanka,LKA,1982,Number of infant deaths,SH.DTH.IMRT,13270
Sri Lanka,LKA,1981,Number of infant deaths,SH.DTH.IMRT,14491
Sri Lanka,LKA,1980,Number of infant deaths,SH.DTH.IMRT,15456
Sri Lanka,LKA,1979,Number of infant deaths,SH.DTH.IMRT,16336
Sri Lanka,LKA,1978,Number of infant deaths,SH.DTH.IMRT,16872
Sri Lanka,LKA,1977,Number of infant deaths,SH.DTH.IMRT,17436
Sri Lanka,LKA,1976,Number of infant deaths,SH.DTH.IMRT,18015
Sri Lanka,LKA,1975,Number of infant deaths,SH.DTH.IMRT,18391
Sri Lanka,LKA,1974,Number of infant deaths,SH.DTH.IMRT,18856
Sri Lanka,LKA,1973,Number of infant deaths,SH.DTH.IMRT,19309
Sri Lanka,LKA,1972,Number of infant deaths,SH.DTH.IMRT,19460
Sri Lanka,LKA,1971,Number of infant deaths,SH.DTH.IMRT,19667
Sri Lanka,LKA,1970,Number of infant deaths,SH.DTH.IMRT,19983
Sri Lanka,LKA,1969,Number of infant deaths,SH.DTH.IMRT,20340
Sri Lanka,LKA,1968,Number of infant deaths,SH.DTH.IMRT,20830
Sri Lanka,LKA,1967,Number of infant deaths,SH.DTH.IMRT,21166
Sri Lanka,LKA,1966,Number of infant deaths,SH.DTH.IMRT,21492
Sri Lanka,LKA,1965,Number of infant deaths,SH.DTH.IMRT,21995
Sri Lanka,LKA,1964,Number of infant deaths,SH.DTH.IMRT,22279
Sri Lanka,LKA,1963,Number of infant deaths,SH.DTH.IMRT,22393
Sri Lanka,LKA,1962,Number of infant deaths,SH.DTH.IMRT,22605
Sri Lanka,LKA,1961,Number of infant deaths,SH.DTH.IMRT,23154
Sri Lanka,LKA,1960,Number of infant deaths,SH.DTH.IMRT,24038
Sri Lanka,LKA,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,8.0110528250866
Sri Lanka,LKA,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,8.10632306882883
Sri Lanka,LKA,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,15.7652585089274
Sri Lanka,LKA,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,14.4571727553172
Sri Lanka,LKA,2022,Number of under-five deaths,SH.DTH.MORT,1980
Sri Lanka,LKA,2021,Number of under-five deaths,SH.DTH.MORT,2079
Sri Lanka,LKA,2020,Number of under-five deaths,SH.DTH.MORT,2195
Sri Lanka,LKA,2019,Number of under-five deaths,SH.DTH.MORT,2324
Sri Lanka,LKA,2018,Number of under-five deaths,SH.DTH.MORT,2464
Sri Lanka,LKA,2017,Number of under-five deaths,SH.DTH.MORT,2631
Sri Lanka,LKA,2016,Number of under-five deaths,SH.DTH.MORT,2816
Sri Lanka,LKA,2015,Number of under-five deaths,SH.DTH.MORT,3039
Sri Lanka,LKA,2014,Number of under-five deaths,SH.DTH.MORT,3305
Sri Lanka,LKA,2013,Number of under-five deaths,SH.DTH.MORT,3570
Sri Lanka,LKA,2012,Number of under-five deaths,SH.DTH.MORT,3787
Sri Lanka,LKA,2011,Number of under-five deaths,SH.DTH.MORT,3955
Sri Lanka,LKA,2010,Number of under-five deaths,SH.DTH.MORT,4102
Sri Lanka,LKA,2009,Number of under-five deaths,SH.DTH.MORT,7735
Sri Lanka,LKA,2008,Number of under-five deaths,SH.DTH.MORT,4502
Sri Lanka,LKA,2007,Number of under-five deaths,SH.DTH.MORT,4766
Sri Lanka,LKA,2006,Number of under-five deaths,SH.DTH.MORT,4989
Sri Lanka,LKA,2005,Number of under-five deaths,SH.DTH.MORT,5154
Sri Lanka,LKA,2004,Number of under-five deaths,SH.DTH.MORT,10365
Sri Lanka,LKA,2003,Number of under-five deaths,SH.DTH.MORT,5440
Sri Lanka,LKA,2002,Number of under-five deaths,SH.DTH.MORT,5530
Sri Lanka,LKA,2001,Number of under-five deaths,SH.DTH.MORT,5574
Sri Lanka,LKA,2000,Number of under-five deaths,SH.DTH.MORT,5620
Sri Lanka,LKA,1999,Number of under-five deaths,SH.DTH.MORT,5759
Sri Lanka,LKA,1998,Number of under-five deaths,SH.DTH.MORT,6047
Sri Lanka,LKA,1997,Number of under-five deaths,SH.DTH.MORT,6424
Sri Lanka,LKA,1996,Number of under-five deaths,SH.DTH.MORT,6768
Sri Lanka,LKA,1995,Number of under-five deaths,SH.DTH.MORT,7069
Sri Lanka,LKA,1994,Number of under-five deaths,SH.DTH.MORT,7327
Sri Lanka,LKA,1993,Number of under-five deaths,SH.DTH.MORT,7573
Sri Lanka,LKA,1992,Number of under-five deaths,SH.DTH.MORT,7732
Sri Lanka,LKA,1991,Number of under-five deaths,SH.DTH.MORT,7790
Sri Lanka,LKA,1990,Number of under-five deaths,SH.DTH.MORT,7875
Sri Lanka,LKA,1989,Number of under-five deaths,SH.DTH.MORT,9394
Sri Lanka,LKA,1988,Number of under-five deaths,SH.DTH.MORT,8325
Sri Lanka,LKA,1987,Number of under-five deaths,SH.DTH.MORT,9021
Sri Lanka,LKA,1986,Number of under-five deaths,SH.DTH.MORT,10066
Sri Lanka,LKA,1985,Number of under-five deaths,SH.DTH.MORT,11405
Sri Lanka,LKA,1984,Number of under-five deaths,SH.DTH.MORT,12887
Sri Lanka,LKA,1983,Number of under-five deaths,SH.DTH.MORT,14569
Sri Lanka,LKA,1982,Number of under-five deaths,SH.DTH.MORT,16399
Sri Lanka,LKA,1981,Number of under-five deaths,SH.DTH.MORT,17912
Sri Lanka,LKA,1980,Number of under-five deaths,SH.DTH.MORT,19169
Sri Lanka,LKA,1979,Number of under-five deaths,SH.DTH.MORT,20387
Sri Lanka,LKA,1978,Number of under-five deaths,SH.DTH.MORT,21324
Sri Lanka,LKA,1977,Number of under-five deaths,SH.DTH.MORT,22315
Sri Lanka,LKA,1976,Number of under-five deaths,SH.DTH.MORT,23304
Sri Lanka,LKA,1975,Number of under-five deaths,SH.DTH.MORT,24052
Sri Lanka,LKA,1974,Number of under-five deaths,SH.DTH.MORT,24808
Sri Lanka,LKA,1973,Number of under-five deaths,SH.DTH.MORT,25465
Sri Lanka,LKA,1972,Number of under-five deaths,SH.DTH.MORT,25769
Sri Lanka,LKA,1971,Number of under-five deaths,SH.DTH.MORT,26084
Sri Lanka,LKA,1970,Number of under-five deaths,SH.DTH.MORT,26485
Sri Lanka,LKA,1969,Number of under-five deaths,SH.DTH.MORT,26958
Sri Lanka,LKA,1968,Number of under-five deaths,SH.DTH.MORT,27613
Sri Lanka,LKA,1967,Number of under-five deaths,SH.DTH.MORT,28192
Sri Lanka,LKA,1966,Number of under-five deaths,SH.DTH.MORT,28816
Sri Lanka,LKA,1965,Number of under-five deaths,SH.DTH.MORT,29586
Sri Lanka,LKA,1964,Number of under-five deaths,SH.DTH.MORT,30076
Sri Lanka,LKA,1963,Number of under-five deaths,SH.DTH.MORT,30364
Sri Lanka,LKA,1962,Number of under-five deaths,SH.DTH.MORT,30742
